"<a href=""https://en.wikipedia.org/wiki/Abacus_(architecture)"" title=""Abacus (architecture)"">Abacus</a>"|"
A flat slab forming the uppermost member or division of the capital of a column.
"
"<a href=""https://en.wikipedia.org/wiki/Onion_dome"" title=""Onion dome"">Onion dome</a>"|"
A dome whose shape resembles an onion.
"
"<a href=""https://en.wikipedia.org/wiki/Order_(mouldings)"" title=""Order (mouldings)"">Order</a>"|"
A term for a standard arrangement of architectural features; most often refers to the three traditional <a href=""https://en.wikipedia.org/wiki/Classical_order"" title=""Classical order"">classical orders</a> of Western architecture: the <a href=""https://en.wikipedia.org/wiki/Doric_order"" title=""Doric order"">Doric order</a>, <a href=""https://en.wikipedia.org/wiki/Ionic_order"" title=""Ionic order"">Ionic order</a> and <a href=""https://en.wikipedia.org/wiki/Corinthian_order"" title=""Corinthian order"">Corinthian order</a>, though there are others.  Can also refer to types of mouldings most often found in Romanesque and <a href=""https://en.wikipedia.org/wiki/Gothic_architecture"" title=""Gothic architecture"">Gothic arches</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Orthostates"" title=""Orthostates"">Orthostates</a>"|"
(<a href=""https://en.wikipedia.org/wiki/Greek_language"" title=""Greek language"">Greek</a>: ὀρθοστάτης, standing upright) – Greek architecture term for the lowest course of masonry of the external walls of the <a href=""https://en.wikipedia.org/wiki/Cella"" title=""Cella"">naos</a> or <a href=""https://en.wikipedia.org/wiki/Cella"" title=""Cella"">cella</a>, consisting of vertical slabs of stone or marble equal in height to two or three of the horizontal courses which constitute the inner part of the wall.<sup id=""cite_ref-49"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-49"">&#91;49&#93;</a></sup>
"
"Orthostyle"|"
(<a href=""https://en.wikipedia.org/wiki/Greek_language"" title=""Greek language"">Greek</a>: ὃρθος, straight, and στῦλος, a column) – a range of columns placed in a straight row, as for instance those of the portico or flanks of a classic temple.<sup id=""cite_ref-50"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-50"">&#91;50&#93;</a></sup>

<div class=""thumb tright""><div class=""thumbinner"" style=""width:222px;""><a href=""https://en.wikipedia.org/wiki/File:Screen_MoorhayesChapel_CullomptonChurch_Devon.PNG"" class=""image""><img alt="""" src=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Screen_MoorhayesChapel_CullomptonChurch_Devon.PNG/220px-Screen_MoorhayesChapel_CullomptonChurch_Devon.PNG"" decoding=""async"" width=""220"" height=""150"" class=""thumbimage"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Screen_MoorhayesChapel_CullomptonChurch_Devon.PNG/330px-Screen_MoorhayesChapel_CullomptonChurch_Devon.PNG 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Screen_MoorhayesChapel_CullomptonChurch_Devon.PNG/440px-Screen_MoorhayesChapel_CullomptonChurch_Devon.PNG 2x"" data-file-width=""3599"" data-file-height=""2459"" /></a>  <div class=""thumbcaption""><div class=""magnify""><a href=""https://en.wikipedia.org/wiki/File:Screen_MoorhayesChapel_CullomptonChurch_Devon.PNG"" class=""internal"" title=""Enlarge""></a></div><a href=""https://en.wikipedia.org/wiki/Parclose_screen"" title=""Parclose screen"">Parclose screen</a>, c. 1530, of the <a href=""https://en.wikipedia.org/wiki/Moor_Hayes"" title=""Moor Hayes"">Moorhayes</a> Chapel, <a href=""https://en.wikipedia.org/wiki/Cullompton"" title=""Cullompton"">Cullompton</a> Church, Devon, England</div></div></div>
"
"<a href=""https://en.wikipedia.org/wiki/Panelling"" title=""Panelling"">Panelling</a>"|"
Is a millwork wall covering constructed from rigid or semi-rigid components. These are traditionally interlocking wood, but could be plastic or other materials.

Panelling was developed in antiquity to make rooms in stone buildings more comfortable. The panels served to insulate the room from the cold stone. In more modern buildings, such panelling is often installed for decorative purposes. Panelling, such as wainscoting and boiserie in particular, may be extremely ornate and is particularly associated with seventeenth and eighteenth century interior design, Victorian architecture in Britain, and its international contemporaries.
"
"<a href=""https://en.wikipedia.org/wiki/Parapet"" title=""Parapet"">Parapet</a>"|"
A low wall built up above the level of a roof, to hide the roof or to provide protection against falling, and similar structures associated with balconies, bridges etc.<sup id=""cite_ref-51"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-51"">&#91;51&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Parclose_screen"" title=""Parclose screen"">Parclose screen</a>"|"
Screen or railing used to enclose a <a href=""https://en.wikipedia.org/wiki/Chantry_chapel"" class=""mw-redirect"" title=""Chantry chapel"">chantry chapel</a>, tomb or <a href=""https://en.wikipedia.org/wiki/Manor"" title=""Manor"">manorial chapel</a>, in a church, and for the space thus enclosed.<sup id=""cite_ref-52"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-52"">&#91;52&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Pavilion"" title=""Pavilion"">Pavilion</a>"|"
A free standing structure near the main building or an ending structure on building wings.
"
"<a href=""https://en.wikipedia.org/wiki/Pedestal"" title=""Pedestal"">Pedestal</a> (also <a href=""https://en.wikipedia.org/wiki/Plinth"" class=""mw-redirect"" title=""Plinth"">Plinth</a>) <span id=""pedestal""></span><span id=""plinth""></span>"|"
The base or support on which a statue, obelisk, or column is mounted. A plinth is a lower terminus of the face trim on a door that is thicker and often wider than the trim which it augments.
"
"<a href=""https://en.wikipedia.org/wiki/Pediment"" title=""Pediment"">Pediment</a>"|"
(Gr. ἀετός, Lat. <i>fastigium</i>, Fr. <i>ponton</i>), in classic architecture the triangular-shaped portion of the wall above the cornice which formed the termination of the roof behind it. The projecting mouldings of the cornice which surround it enclose the tympanum, which is sometimes decorated with sculpture.
"
"<a href=""https://en.wikipedia.org/wiki/Pelmet"" title=""Pelmet"">Pelmet</a>"|"
A framework placed above a window.
"
"<a href=""https://en.wikipedia.org/wiki/Pendentive"" title=""Pendentive"">Pendentive</a>"|"
Three-dimensional <a href=""https://en.wikipedia.org/wiki/Spandrels"" class=""mw-redirect"" title=""Spandrels"">spandrels</a> supporting the weight of a dome over a square or rectangular base.
"
"<a href=""https://en.wikipedia.org/wiki/Peripteros"" title=""Peripteros"">Peripteral</a>"|"
A temple or other structure surrounded on all sides by columns forming a continuous <a href=""https://en.wikipedia.org/wiki/Portico"" title=""Portico"">portico</a> at the distance of one or two <a href=""https://en.wikipedia.org/wiki/Intercolumniation"" title=""Intercolumniation"">intercolumniations</a> from the walls of the <a href=""https://en.wikipedia.org/wiki/Cella"" title=""Cella"">naos</a> or <a href=""https://en.wikipedia.org/wiki/Cella"" title=""Cella"">cella</a>. Almost all the Greek temples were peripteral, whether Doric, Ionic, or Corinthian.
"
"<a href=""https://en.wikipedia.org/wiki/Peristasis_(architecture)"" title=""Peristasis (architecture)"">Peristasis</a>"|"
The Peristasis (Greek: Περίστασις) was a four-sided porch or hall of columns surrounding the <a href=""https://en.wikipedia.org/wiki/Cella"" title=""Cella"">cella</a> in an ancient Greek <a href=""https://en.wikipedia.org/wiki/Peripteros"" title=""Peripteros"">peripteros</a> temple (see also <a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#Peristyle"">Peristyle</a>). In ecclesial architecture, it is also used of the area between the baluster of a Catholic church and the high altar (what is usually called the <a href=""https://en.wikipedia.org/wiki/Sanctuary"" title=""Sanctuary"">sanctuary</a> or <a href=""https://en.wikipedia.org/wiki/Chancel"" title=""Chancel"">chancel</a>).
"
"<a href=""https://en.wikipedia.org/wiki/Peristyle"" title=""Peristyle"">Peristyle</a>"|"
a continuous porch of columns surrounding a courtyard or garden (see also <a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#Peristasis"">Peristasis</a>). In ecclesial architecture, the term <a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cloister"" title=""Glossary of architecture"">cloister</a> is used.
"
"<a href=""https://en.wikipedia.org/wiki/Phiale_(building)"" title=""Phiale (building)"">Phiale</a>"|"
A building or columned arcade around a fountain.
"
"<a href=""https://en.wikipedia.org/wiki/Piano_nobile"" title=""Piano nobile"">Piano nobile</a>"|"
The principal floor of a large house, built in the style of <a href=""https://en.wikipedia.org/wiki/Renaissance_architecture"" title=""Renaissance architecture"">renaissance architecture</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Pier_(architecture)"" title=""Pier (architecture)"">Pier</a>"|"
An upright support for a superstructure, such as an arch or bridge.
"
"<a href=""https://en.wikipedia.org/wiki/Pilaster"" title=""Pilaster"">Pilaster</a>"|"
A slightly-projecting column built into or applied to the face of a wall.
"
"Planceer or Planchier <span id=""planceer""></span><span id=""planchier""></span>"|"
Building element sometimes used in the same sense as a <a href=""https://en.wikipedia.org/wiki/Soffit"" title=""Soffit"">soffit</a>, but more correctly applied to the soffit of the <a href=""https://en.wikipedia.org/wiki/Corona_(disambiguation)"" class=""mw-redirect mw-disambig"" title=""Corona (disambiguation)"">corona</a> in a <a href=""https://en.wikipedia.org/wiki/Cornice"" title=""Cornice"">cornice</a>.<sup id=""cite_ref-53"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-53"">&#91;53&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Plate_girder"" class=""mw-redirect"" title=""Plate girder"">Plate girder</a>"|"
A steel girder formed from a vertical center web of steel plate with steel angles forming the top and bottom flanges welded, bolted or riveted to the web. Some deep plate girders also may have vertical stiffeners (angles) attached to the web to resist crippling (horizontal failure) of the web.
"
"<a href=""https://en.wikipedia.org/wiki/Plinth"" class=""mw-redirect"" title=""Plinth"">Plinth</a>"|"
The base or platform upon which a column, pedestal, statue, monument or structure rests. A plinth is a lower terminus of the face trim on a door that is thicker and often wider than the trim which it augments
"
"<a href=""https://en.wikipedia.org/wiki/Poppyhead_(carving)"" title=""Poppyhead (carving)"">Poppyheads</a>"|"
Finials or other ornaments which terminate the tops of bench ends, either to pews or stalls. They are sometimes small human heads, sometimes richly carved images, knots of foliage or finials, and sometimes fleurs-de-lis simply cut out of the thickness of the bench end and chamfered. The term is probably derived from the French <i>poupee</i> doll or puppet used also in this sense, or from the flower, from a resemblance in shape.<sup id=""cite_ref-54"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-54"">&#91;54&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Portcullis"" title=""Portcullis"">Portcullis</a>"|"
Heavy wooden or metallic grid vertically-sliding down and thus blocking the main gateway of a <a href=""https://en.wikipedia.org/wiki/Middle_Ages"" title=""Middle Ages"">medieval</a> <a href=""https://en.wikipedia.org/wiki/Castle"" title=""Castle"">castle</a> or fortification.
"
"<a href=""https://en.wikipedia.org/wiki/Porte-coch%C3%A8re"" title=""Porte-cochère"">Porte-cochère</a>"|"
A porch- or portico-like structure at a main or secondary entrance to a building through which a horse and carriage (or motor vehicle) can pass in order for the occupants to alight under cover, protected from the weather.
"
"<a href=""https://en.wikipedia.org/wiki/Portico"" title=""Portico"">Portico</a>"|"
A series of columns or arches in front of a building, generally as a covered walkway.
"
"Prick post"|"
Old architectural name given sometimes to the queen posts of a roof, and sometimes to the filling in quarters in framing.<sup id=""cite_ref-55"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-55"">&#91;55&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Prostyle"" title=""Prostyle"">Prostyle</a>"|"
Free standing <a href=""https://en.wikipedia.org/wiki/Column"" title=""Column"">columns</a> that are widely spaced apart in a row.  The term is often used as an <a href=""https://en.wikipedia.org/wiki/Adjective"" title=""Adjective"">adjective</a> when referring to a <a href=""https://en.wikipedia.org/wiki/Portico"" title=""Portico"">portico</a> which projects from the main structure.
"
"<a href=""https://en.wikipedia.org/wiki/Pseudodipteral"" title=""Pseudodipteral"">Pseudodipteral</a>"|"
Temple similar to a <a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#Dipteral"">dipteral</a> temple, in which the columns surrounding the naos have had walls built between them, so that they become engaged columns, as in the great temple at Agrigentum. In Roman temples, in order to increase the size of the celia, the columns on either side and at the rear became engaged columns, the portico only having isolated columns.<sup id=""cite_ref-56"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-56"">&#91;56&#93;</a></sup>
"
"Pteroma"|"
In Classical architecture, the enclosed space of a portico, <a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#Peristyle"">peristyle</a>, or stoa, generally behind a screen of columns.
"
"Pycnostyle"|"
Term given by <a href=""https://en.wikipedia.org/wiki/Vitruvius"" title=""Vitruvius"">Vitruvius</a> to the intercolumniation between the columns of a temple, when this was equal to one and a half diameters.<sup id=""cite_ref-57"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-57"">&#91;57&#93;</a></sup>
"
"Quadriporticus"|"
Also known as a quadriportico – a four-sided <a href=""https://en.wikipedia.org/wiki/Portico"" title=""Portico"">portico</a>.  The closest modern parallel would be a <a href=""https://en.wikipedia.org/wiki/Colonnade"" title=""Colonnade"">colonnaded</a> <a href=""https://en.wikipedia.org/wiki/Quadrangle_(architecture)"" title=""Quadrangle (architecture)"">quadrangle</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Quoin_(architecture)"" class=""mw-redirect"" title=""Quoin (architecture)"">Quoin</a>"|"
The cornerstones of brick or stone walls.  Quoins are also common in some brickwork corners that are alternately recessed and expressed.
"
"<a href=""https://en.wikipedia.org/wiki/Raking_cornice"" class=""mw-redirect"" title=""Raking cornice"">Rake</a>"|"
The diagonal outside facing edge of a gable, sometimes called a <i>raking cornice</i> or a <i>sloping cornice</i>.  Rake is equivalent to slope which is the ratio of the rise to the run of the roof.
"
"Rear vault"|"
<a href=""https://en.wikipedia.org/wiki/Vault_(architecture)"" title=""Vault (architecture)"">Vault</a> of the internal hood of a doorway or window to which a splay has been given on the reveal, sometimes the vaulting surface is terminated by a small rib known as the scoinson rib, and a further development is given by angle shafts carrying this rib, known as scoinson shafts.<sup id=""cite_ref-58"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-58"">&#91;58&#93;</a></sup>
"
"Return"|"
Receding edge of a flat face. On a flat signboard, for example, the return is the edge which makes up the board's depth.
"
"Revolving door"|"
An entrance door for excluding drafts from an interior of a building. A revolving door typically consists of three or four doors that hang on a center shaft and rotate around a vertical axis within a round enclosure.
"
"<a href=""https://en.wikipedia.org/wiki/Rib_vault"" title=""Rib vault"">Rib vault</a>"|"
The intersection of two or three barrel vaults.
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Ridge_board&amp;action=edit&amp;redlink=1"" class=""new"" title=""Ridge board (page does not exist)"">Ridge board</a>"|"
A structural member that runs the length of the ridge (high point) on a sloped roof to which the upper ends of rafters are attached.
"
"<a href=""https://en.wikipedia.org/wiki/Roof_comb"" title=""Roof comb"">Roof comb</a>"|"
The structure that tops a pyramid in monumental Mesoamerican architecture (also common as a decorative embellishment on the ridge of metal roofs of some domestic Gothic-style architecture in America in the 19th century).
"
"<a href=""https://en.wikipedia.org/wiki/Rotunda_(architecture)"" title=""Rotunda (architecture)"">Rotunda</a>"|"
A large and high circular hall or room in a building, usually but not always, surmounted by a dome.


"
"<a href=""https://en.wikipedia.org/wiki/Sash_window"" title=""Sash window"">Sash</a>"|"
The horizontal and vertical frame that encloses the glazing of a window.  A sash may be fixed or operable and may be of several different types depending on operation (i.e. casement, single or double hung, awning, hopper or sliding).
"
"<a href=""https://en.wikipedia.org/wiki/Great_hall"" title=""Great hall"">Screens passage</a>"|"
The passage at one end of the <a href=""https://en.wikipedia.org/wiki/Great_hall"" title=""Great hall"">Great hall</a> of an English medieval house or castle, and separated from it by the spere.
"
"<a href=""https://en.wikipedia.org/wiki/Scroll_(art)"" title=""Scroll (art)"">Scroll</a>"|"
Ornamental element featuring a sequence of spiraled, circled or heart shaped motifs. There are, among others, flower scrolls, foliated scrolls, plants scrolls, vines scrolls.
"
"<a href=""https://en.wikipedia.org/wiki/Site-specific_architecture"" title=""Site-specific architecture"">Site-specific architecture</a>"|"
Architecture which is of its time and of its place. It is designed to respond to both its physical context, and the metaphysical context within which it has been conceived and executed
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Skeiling&amp;action=edit&amp;redlink=1"" class=""new"" title=""Skeiling (page does not exist)"">Skeiling</a>"|"
A straight sloped part of a ceiling, such as on the underside of a pitched roof.
<sup id=""cite_ref-59"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-59"">&#91;59&#93;</a></sup>
"
"Sommer or Summer <span id=""sommer""></span><span id=""summer""></span>"|"
Girder or main ""summer beam"" of a floor: if supported on two storey posts and open below, also called a ""bress"" or ""breast-summer"". Often found at the centerline of the house to support one end of a <a href=""https://en.wikipedia.org/wiki/Joist"" title=""Joist"">joist</a>, and to bear the weight of the structure above.<sup id=""cite_ref-60"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-60"">&#91;60&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Spandrel"" title=""Spandrel"">Spandrel</a>"|"
The space between two arches or between an arch and a rectangular enclosure.&#160;&#160;In a building facade, the space between the top of the window in one story and the sill of the window in the story above.
"
"Spere"|"
The fixed structure between the great hall and the screens passage in an English medieval timber house.
"
"<a href=""https://en.wikipedia.org/wiki/Spire"" title=""Spire"">Spire</a>"|"
A tapering conical or pyramidal structure on the top of a building.
"
"<a href=""https://en.wikipedia.org/wiki/Springer_(architecture)"" title=""Springer (architecture)"">Springer</a>"|"
The lowest <a href=""https://en.wikipedia.org/wiki/Voussoir"" title=""Voussoir"">voussoir</a> on each side of an arch.
"
"<a href=""https://en.wikipedia.org/wiki/Squinch"" title=""Squinch"">Squinch</a>"|"
A piece of construction used for filling in the upper angles of a square room so as to form a proper base to receive an octagonal or spherical <a href=""https://en.wikipedia.org/wiki/Dome"" title=""Dome"">dome</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Hagioscope"" title=""Hagioscope"">Squint</a>"|"
An opening, often arched, through an internal wall of a church providing an oblique view of the altar.
"
"<a href=""https://en.wikipedia.org/wiki/Stoop_(architecture)"" title=""Stoop (architecture)"">Stoop</a>"|"
A small <a href=""https://en.wikipedia.org/wiki/Staircase"" class=""mw-redirect"" title=""Staircase"">staircase</a> ending in a platform and leading to the entrance of an <a href=""https://en.wikipedia.org/wiki/Apartment_building"" class=""mw-redirect"" title=""Apartment building"">apartment building</a> or other building.
"
"<a href=""https://en.wikipedia.org/wiki/Sunburst"" title=""Sunburst"">Sunburst</a>"|"
A design or figure commonly used in architectural ornaments and design patterns, including <a href=""https://en.wikipedia.org/wiki/Art_nouveau"" class=""mw-redirect"" title=""Art nouveau"">art nouveau</a>.
"
"Systyle"|"
in the <a href=""https://en.wikipedia.org/wiki/Classical_order"" title=""Classical order"">classical orders</a>, this describes columns rather thickly set, with an <a href=""https://en.wikipedia.org/wiki/Intercolumniation"" title=""Intercolumniation"">intercolumniation</a> to which two diameters are assigned.<sup id=""cite_ref-61"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-61"">&#91;61&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Timber_framing"" title=""Timber framing"">Timber framing</a>"|"
Is the method of creating structures using heavy timbers jointed by pegged <a href=""https://en.wikipedia.org/wiki/Mortise_and_tenon"" title=""Mortise and tenon"">Mortise and tenon</a> joints.
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Trabeated_arch&amp;action=edit&amp;redlink=1"" class=""new"" title=""Trabeated arch (page does not exist)"">Trabeated arch</a>"|"
An <a href=""https://en.wikipedia.org/wiki/Arch"" title=""Arch"">arch</a> pointed at the top formed by <a href=""https://en.wikipedia.org/wiki/Voussoir"" title=""Voussoir"">voussoirs</a> whose inside radius is greater than one-half the span of the arch.
"
"<a href=""https://en.wikipedia.org/wiki/Tracery"" title=""Tracery"">Tracery</a>"|"
The stonework elements that support the glass in a Gothic window.
"
"<a href=""https://en.wikipedia.org/wiki/Transom_(architectural)"" class=""mw-redirect"" title=""Transom (architectural)"">Transom (architectural)</a>"|"
Window or element, fixed or operable,  above a door but within its vertical frame.
"
"<a href=""https://en.wikipedia.org/wiki/Truss"" title=""Truss"">Truss</a>"|"
A structural component made of straight wood or metal members, usually in a triangular pattern, with ""pinned"" connections at the top and bottom chords and which is used to support structural loads, as those on a floor, roof or bridge.
"
"<a href=""https://en.wikipedia.org/wiki/Turret"" title=""Turret"">Turret</a>"|"
A small tower that projects vertically from the wall of a building such as a medieval castle.
"
"<a href=""https://en.wikipedia.org/wiki/Tympanum_(architecture)"" title=""Tympanum (architecture)"">Tympanum</a>"|"
(<a href=""https://en.wikipedia.org/wiki/Greek_(language)"" class=""mw-redirect"" title=""Greek (language)"">Greek</a> τύμπανον, from τύπτειν, to strike) the triangular space enclosed between the horizontal cornice of the entablature and the sloping cornice of the pediment. Though sometimes left plain, it is often decorated.
"
"<a href=""https://en.wikipedia.org/wiki/Undercroft"" title=""Undercroft"">Undercroft</a>"|"
Traditionally, a cellar or storage room.  In modern usage, a ground-level area that is relatively open to the sides, but covered by the building above.
"
"<a href=""https://en.wikipedia.org/wiki/Ventilation_shaft"" title=""Ventilation shaft"">Ventilation shaft</a>"|"
A small, vertical space within a tall building which permits ventilation of the building.
"
"<a href=""https://en.wikipedia.org/wiki/Truss#Vierendeel_Truss"" title=""Truss"">Vierendeel truss</a>"|"
A rectilinear truss usually fabricated of steel or concrete with horizontal top and bottom chords and vertical web members (no diagonals) in which the loads imposed on it are transferred to the supports through bending forces resisted in its connections.
"
"<a href=""https://en.wikipedia.org/wiki/Volute"" title=""Volute"">Volute</a>"|"
A spiral, scroll-like ornament that forms the basis of the Ionic order.
"
"<a href=""https://en.wikipedia.org/wiki/Voussoir"" title=""Voussoir"">Voussoir</a>"|"
A wedge-shaped or tapered stone between the springer and the keystone used to construct an arch.
"
"Wing"|"
<dd class=""glossary"">1.&#160;&#160;A lateral part or projection of a building or structure such as a <a href=""https://en.wikipedia.org/wiki/Wing_wall"" title=""Wing wall"">wing wall</a>.</dd>
<dd class=""glossary"">2.&#160;&#160;A subordinate part of a building possibly not connected to the main building.<sup id=""cite_ref-62"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-62"">&#91;62&#93;</a></sup></dd>
<dd class=""glossary"">3.&#160;&#160;The sides of a <a href=""https://en.wikipedia.org/wiki/Stage_(theatre)"" title=""Stage (theatre)"">stage (theatre)</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Zaguan"" title=""Zaguan"">Zaguan</a>"|"
Passageway of a central passage plan house, or the complex as a whole, in Territorial or Territorial Revival architecture in the American Southwest
"
"<a href=""https://en.wikipedia.org/wiki/Ziggurat"" title=""Ziggurat"">Ziggurat</a>"|"
A temple tower of the ancient Mesopotamian valley, having the form of a terraced pyramid of successively receding stories.
"
